Condition,Result
22423 22699 22698,22697
22699 22698 ,22697
22423 22698 ,22697
22698,22697
22423 22697 22698,22699
22804,85123A  
22423 22698 ,22699
22697 22698 ,22699
22423 22699 22697,22698
22423 22697 ,22699
22423 22698 ,22699 22697 
22698,22699
22699 22697 22698,22423
22699 22698 ,22423
22423 22697 ,22698
22423 22699 ,22697
22697,22699
22698,22699 22697 
22699 22697 ,22698
22699 22698 ,22423 22697 
22697 22698 ,22423
21733,85123A  
22617,22138
22726,22727
 20727 22384,20725
21136,84879
22698,22423
20725 22384 ,20727
85099F  ,85099B  
22699 22697 ,22423
22699,22697
20728 22384 ,20725
22697,22698
22578,22577
22386,85099B  
22423 22697 ,22699 22698 
20725 20727 ,22384
23300,23301
22698,22423 22697 
22423 22699 ,22698
22697,22423
20725 22384 ,20728
23199,85099B  
22697 22698 ,22423 22699 
22577,22578
 20725 20728,22384
22699,22423
22662,22382 22698 
 22423 22699,22697
 85099C ,85099B  
22698,22423 22699 
20726,22382
23199,23203
22910,22086
 82494L ,82482
22698,22423 22699 22697
23343,23344
 22699 22697,22423 22698 
22722,22720
82482,82494L  
22697,22699 22698 
21931,85099B  
21977,21212
23301,23300
22384,20725
22727,22726
22699,22698
22697,22423 22699 
23202,23203
22384,20727
22383,20728
22384,20728
22835,22112
22699,22697 22698 
21755,21754
22383,20727
20727,20725
22383,22382
22866,22865
23322,23321
84991,21212
22697,22423 22698 
20728,20725
23206,23209
22383,20725
23203,85099B  
22699,22423 22697 
22867,22865
22114,23355
22470,22469
23206,20725
23206,20728
23322,22470
23201,85099B  
23245,22423
21754,21755
23202,85099B  
23207,20728
20725,20727
20727,22384
  ,  
  ,
  ,
